unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
8A78B2AF-BB42-5CB0-E053-6B04A8C0F504,240000,17/04/2019,LE7 3DN,S,N,F,41,THE RINGWAY,QUENIBOROUGH,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BB42-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BDFF-5CB0-E053-6B04A8C0F504,218000,18/04/2019,LE7 3DN,S,N,F,57,THE RINGWAY,QUENIBOROUGH,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BDFF-5CB0-E053-6B04A8C0F504/current,
87E1551E-5334-6405-E053-6C04A8C0B2EE,300000,12/04/2019,LE7 3DP,D,N,F,83,THE RINGWAY,QUENIBOROUGH,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-5334-6405-E053-6C04A8C0B2EE/current,
8A78B2AF-BE97-5CB0-E053-6B04A8C0F504,345000,18/04/2019,LE7 3GB,D,N,F,22,BOONTON MEADOWS WAY,QUENIBOROUGH,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BE97-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BF83-5CB0-E053-6B04A8C0F504,354995,26/04/2019,LE7 3GB,D,Y,F,31,BOONTON MEADOWS WAY,QUENIBOROUGH,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BF83-5CB0-E053-6B04A8C0F504/current,
919FEC05-7159-9A90-E053-6C04A8C0A300,459995,26/04/2019,LE7 3GB,D,Y,F,37,BOONTON MEADOWS WAY,QUENIBOROUGH,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/919FEC05-7159-9A90-E053-6C04A8C0A300/current,
8A78B2AF-C020-5CB0-E053-6B04A8C0F504,235000,18/04/2019,LE7 3SX,D,N,F,7,SQUIRES RIDE,EAST GOSCOTE,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-C020-5CB0-E053-6B04A8C0F504/current,
87E1551E-52B8-6405-E053-6C04A8C0B2EE,325000,05/04/2019,LE7 3TT,D,N,F,7,ERVIN WAY,QUENIBOROUGH,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-52B8-6405-E053-6C04A8C0B2EE/current,
8A78B2AF-BBD6-5CB0-E053-6B04A8C0F504,260000,12/04/2019,LE7 3WY,D,N,F,10,THE CHASE,EAST GOSCOTE,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BBD6-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BBEE-5CB0-E053-6B04A8C0F504,210000,08/04/2019,LE7 3XN,D,N,F,7,SQUIRRELS CORNER,EAST GOSCOTE,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BBEE-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BB70-5CB0-E053-6B04A8C0F504,192000,26/04/2019,LE7 4YN,T,N,F,17A,MILL ROAD,REARSBY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BB70-5CB0-E053-6B04A8C0F504/current,
87E1551E-5533-6405-E053-6C04A8C0B2EE,475000,12/04/2019,LE7 4ZD,D,N,F,32,NURSERYMAN WAY,REARSBY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-5533-6405-E053-6C04A8C0B2EE/current,
8A78B2AF-BBEC-5CB0-E053-6B04A8C0F504,229000,05/04/2019,LE7 7AG,S,N,F,38,GYNSILL LANE,ANSTEY,LEICESTER,BLABY,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BBEC-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BB3A-5CB0-E053-6B04A8C0F504,258500,12/04/2019,LE7 7BF,D,N,F,20,CHARLES DRIVE,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BB3A-5CB0-E053-6B04A8C0F504/current,
8CAC1318-6BA1-0253-E053-6B04A8C08E51,320000,18/04/2019,LE7 7BR,S,N,F,175,CROPSTON ROAD,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8CAC1318-6BA1-0253-E053-6B04A8C08E51/current,
87E1551E-549D-6405-E053-6C04A8C0B2EE,216000,05/04/2019,LE7 7BX,S,N,F,82,LINK ROAD,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-549D-6405-E053-6C04A8C0B2EE/current,
8A78B2AF-C034-5CB0-E053-6B04A8C0F504,227000,12/04/2019,LE7 7BZ,D,N,F,103,LINK ROAD,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-C034-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BFB1-5CB0-E053-6B04A8C0F504,380000,24/04/2019,LE7 7DB,D,Y,F,18,NURSERY RISE,ANSTEY,LEICESTER,BLABY,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BFB1-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BC48-5CB0-E053-6B04A8C0F504,187500,12/04/2019,LE7 7EF,S,N,F,250,LINK ROAD,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BC48-5CB0-E053-6B04A8C0F504/current,
87E1551E-53A3-6405-E053-6C04A8C0B2EE,193500,12/04/2019,LE7 7EG,T,N,F,4,PRINCES CLOSE,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-53A3-6405-E053-6C04A8C0B2EE/current,
87E1551E-530B-6405-E053-6C04A8C0B2EE,212000,05/04/2019,LE7 7ES,S,N,F,33,NETHERFIELD ROAD,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-530B-6405-E053-6C04A8C0B2EE/current,
87E1551E-548D-6405-E053-6C04A8C0B2EE,351000,05/04/2019,LE7 7JD,D,N,F,5,ALL SAINTS ROAD,THURCASTON,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-548D-6405-E053-6C04A8C0B2EE/current,
87E1551E-56D1-6405-E053-6C04A8C0B2EE,320000,05/04/2019,LE7 7NJ,S,N,F,934,LOUGHBOROUGH ROAD,ROTHLEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-56D1-6405-E053-6C04A8C0B2EE/current,
87E1551E-526C-6405-E053-6C04A8C0B2EE,225000,04/04/2019,LE7 7NN,T,N,F,27,NORTH STREET,ROTHLEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/87E1551E-526C-6405-E053-6C04A8C0B2EE/current,
8A78B2AF-BF71-5CB0-E053-6B04A8C0F504,193000,25/04/2019,LE7 7NT,S,Y,F,6,NOTHILL WAY,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BF71-5CB0-E053-6B04A8C0F504/current,
8A78B2AF-BF64-5CB0-E053-6B04A8C0F504,193000,25/04/2019,LE7 7NT,S,Y,F,8,NOTHILL WAY,ANSTEY,LEICESTER,CHARNWOOD,LEICESTERSHIRE,A,http://landregistry.data.gov.uk/data/ppi/transaction/8A78B2AF-BF64-5CB0-E053-6B04A8C0F504/current,
